"Date","Sessions","New.Devices","Day.1","Day.3","Day.7","Day.1..","Day.3..","Day.7..","Average.Revenue.per.Device.Daily","Average.Revenue.per.Device.Monthly","Average.Revenue.per.Paid.User.Daily","Average.Revenue.per.Paid.User.Monthly","Daily.Active.Devices","Monthly.Active.Devices","Sticky.Factor","rank"
"2015-03-14",2007,109,39,22,15,35.78,20.18,13.76,0.015,0.223,5.49,16.615,725,4911,0.15,1828
"2015-03-15",1503,104,32,20,15,30.77,19.23,14.42,0.077,0.228,6.863,16.684,711,4975,0.14,1840
"2015-03-16",1642,72,28,13,10,38.89,18.06,13.89,0.023,0.229,3.98,16.771,683,4987,0.14,1795
"2015-03-17",1532,66,23,13,3,34.85,19.7,4.55,0.073,0.239,8.483,17.751,698,4976,0.14,1780
"2015-03-18",1446,59,23,13,9,38.98,22.03,15.25,0.053,0.236,8.483,17.733,636,4956,0.13,1763
"2015-03-19",1772,84,21,15,8,25,17.86,9.52,0.1,0.237,13.588,18.35,681,4953,0.14,1751
"2015-03-20",1378,77,26,13,10,33.77,16.88,12.99,0.062,0.242,4.088,17.653,656,4969,0.13,1824
"2015-03-21",1433,101,31,14,11,30.69,13.86,10.89,0.042,0.244,3.733,17.433,715,5011,0.14,1741
"2015-03-22",2083,111,38,18,18,34.23,16.22,16.22,0.022,0.23,2.653,17.138,712,5059,0.14,1714
"2015-03-23",1575,80,25,13,5,31.25,16.25,6.25,0.033,0.222,4.58,16.265,684,5045,0.14,1698
"2015-03-24",1663,72,14,8,6,19.44,11.11,8.33,0.093,0.223,15.213,17.719,653,4999,0.13,1729
"2015-03-25",1596,88,24,14,0,27.27,15.91,0,0.169,0.239,12.201,18.109,649,4996,0.13,1689
